"nome","naz","team","tempo.1","tempo.2","tempo.3","tempo.4","tempo.5","tempo.6","tempo.7","tempo.8","tempo.9","tempo.10","tempo.11","tempo.12","tempo.13","tempo.14","tempo.15","tempo.16","tempo.17","tempo.18","tempo.19","tempo.20","tempo.21"
"BATTAGLIN Enrico","ITA","BAR",1549,20344,36478,45004,63880,87818,106783,125671,142095,156568,177461,181347,194398,210867,232010,251612,269239,287706,291954,309436,325274
"BELKOV Maxim","RUS","KAT",1611,20406,36540,45066,64542,89205,108170,126749,143956,158631,180402,184101,197274,214919,236062,255170,272797,291661,296053,313194,329110
"BELLETTI Manuel","ITA","AND",1630,20422,36545,45071,64718,89447,108412,127738,145038,159511,181492,185581,198632,NA,NA,NA,NA,NA,NA,NA,NA
"BEPPU Fumiyuki","JPN","TFR",1542,20337,36460,44986,64117,88843,107808,126387,142683,157156,178927,182800,195851,213650,234793,254121,271748,290215,294831,312512,328359
"BERARD Julien","FRA","ALM",1737,20532,36666,45192,64323,88360,107325,125117,141193,155868,177639,181613,194664,211812,232804,252132,269759,288623,293341,311091,326929
"BOASSON HAGEN Edvald","NOR","SKY",1517,20309,36432,44958,63718,88719,107684,125864,143164,157720,178848,182522,195573,212256,233949,NA,NA,NA,NA,NA,NA
"BOEM Nicola","ITA","BAR",1549,20344,36478,45004,64651,89138,108101,127427,144727,159553,181534,185365,198503,216159,237943,257545,274264,293573,297912,316498,332428
"BOL Jetse","NED","BEL",1543,20335,37036,45562,65209,90118,109900,129226,146526,161201,183182,187146,200586,218991,240775,260377,278004,297313,302073,320625,336591
"BONGIORNO Francesco Manuel","ITA","BAR",1549,20344,36478,45004,63924,87794,106759,125338,141762,156513,178284,182198,195371,212356,233499,253101,270728,289077,293343,310303,326259
"BONO Matteo","ITA","LAM",1790,20585,36719,45245,64209,88296,107261,126300,142391,157066,178415,182380,195431,213076,234242,253570,270289,289153,293857,311820,327776
"BOOKWALTER Brent","USA","BMC",1646,20441,36718,45244,64720,89207,108172,127060,143613,158288,180059,184025,197115,214157,234612,253462,271089,289438,293907,310918,326834
"BOUET Maxime","FRA","ALM",1540,20335,36469,44995,63755,87625,106590,124321,141200,155673,176817,180569,193620,210768,231460,249682,267309,285776,290094,307775,323641
"BOUHANNI Nacer","FRA","FDJ",1560,20346,36469,44995,64642,89371,108326,127652,144952,159415,181396,185626,198677,216611,238390,257718,275345,294654,299449,318040,333877
"BOZIC Borut","SLO","AST",1520,20315,36438,44964,64611,88885,107850,127176,144476,158949,180720,184651,197702,215868,237197,256799,274426,293735,298497,316465,332303
"BRAJKOVIC Janez","SVN","AST",1520,20315,36449,44975,63768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
