"Numero","Signo","Sorteo","Fecha"
4870,"Aries",2938,"2012-01-23"
8541,"Virgo",2937,"2012-01-22"
4623,"Geminis",2936,"2012-01-21"
1578,"Tauro",2935,"2012-01-20"
9932,"Capricornio",2934,"2012-01-19"
2273,"Virgo",2933,"2012-01-18"
3874,"Aries",2932,"2012-01-17"
2003,"Escorpio",2931,"2012-01-16"
2763,"Libra",2930,"2012-01-15"
2475,"Aries",2929,"2012-01-14"
6798,"Sagitario",2928,"2012-01-13"
6077,"Piscis",2927,"2012-01-12"
8008,"Escorpion",2926,"2012-01-11"
4891,"Virgo",2925,"2012-01-10"
4344,"Cancer",2924,"2012-01-09"
3989,"Escorpio",2923,"2012-01-08"
3119,"Virgo",2922,"2012-01-07"
4424,"Acuario",2921,"2012-01-06"
8359,"Leo",2920,"2012-01-05"
9131,"Sagitario",2919,"2012-01-04"
1624,"Acuario",2918,"2012-01-03"
7001,"Virgo",2917,"2012-01-02"
5059,"Aries",2916,"2011-12-31"
4397,"Libra",2915,"2011-12-30"
2102,"Geminis",2914,"2011-12-29"
8514,"Acuario",2913,"2011-12-28"
4185,"Aries",2912,"2011-12-27"
4826,"Tauro",2911,"2011-12-26"
2230,"Virgo",2910,"2011-12-25"
8248,"Leo",2909,"2011-12-24"
1223,"Leo",2908,"2011-12-23"
3427,"Acuario",2907,"2011-12-22"
4335,"Piscis",2906,"2011-12-21"
7141,"Acuario",2905,"2011-12-20"
2328,"Tauro",2904,"2011-12-19"
5480,"Aries",2903,"2011-12-18"
2939,"Geminis",2902,"2011-12-17"
5564,"Sagitario",2901,"2011-12-16"
4632,"Sagitario",2900,"2011-12-15"
8694,"Acuario",2899,"2011-12-14"
7276,"Tauro",2898,"2011-12-13"
5512,"Leo",2897,"2011-12-12"
2226,"Piscis",2896,"2011-12-11"
4309,"Virgo",2895,"2011-12-10"
2344,"Escorpio",2894,"2011-12-09"
2831,"Piscis",2893,"2011-12-08"
611,"Aries",2892,"2011-12-07"
2527,"Acuario",2891,"2011-12-06"
125,"Sagitario",2890,"2011-12-05"
4435,"Libra",2889,"2011-12-04"
1769,"Leo",2888,"2011-12-03"
5947,"Cancer",2887,"2011-12-02"
9432,"Capricornio",2886,"2011-12-01"
4811,"Cancer",2885,"2011-11-30"
6616,"Tauro",2884,"2011-11-29"
7947,"Libra",2883,"2011-11-28"
536,"Tauro",2882,"2011-11-27"
7902,"Aries",2881,"2011-11-26"
4122,"Cancer",2880,"2011-11-25"
6056,"Cancer",2879,"2011-11-24"
2672,"Geminis",2878,"2011-11-23"
3192,"Escorpio",2877,"2011-11-22"
8613,"Escorpio",2876,"2011-11-21"
4093,"Libra",2875,"2011-11-20"
3032,"Sagitario",2874,"2011-11-19"
467,"Tauro",2873,"2011-11-18"
1534,"Capricornio",2872,"2011-11-17"
1581,"Capricornio",2871,"2011-11-16"
8940,"Capricornio",2870,"2011-11-15"
245,"Virgo",2869,"2011-11-14"
185,"Libra",2868,"2011-11-13"
749,"Libra",2867,"2011-11-12"
4062,"Leo",2866,"2011-11-11"
281,"Capricornio",2865,"2011-11-10"
2916,"Escorpio",2864,"2011-11-09"
6460,"Piscis",2863,"2011-11-08"
8977,"Libra",2862,"2011-11-07"
8912,"Tauro",2861,"2011-11-06"
4494,"Libra",2860,"2011-11-05"
6741,"Libra",2859,"2011-11-04"
3557,"Escorpio",2858,"2011-11-03"
214,"Tauro",2857,"2011-11-02"
4047,"Cancer",2856,"2011-11-01"
5575,"Capricornio",2855,"2011-10-31"
3856,"Leo",2854,"2011-10-30"
2890,"Virgo",2853,"2011-10-29"
7383,"Virgo",2852,"2011-10-28"
5220,"Virgo",2851,"2011-10-27"
1716,"Sagitario",2850,"2011-10-26"
3481,"Libra",2849,"2011-10-25"
9319,"Sagitario",2848,"2011-10-24"
8201,"Piscis",2847,"2011-10-23"
1631,"Virgo",2846,"2011-10-22"
8672,"Aries",2845,"2011-10-21"
4863,"Virgo",2844,"2011-10-20"
4821,"Leo",2843,"2011-10-19"
6144,"Cancer",2842,"2011-10-18"
7674,"Leo",2841,"2011-10-17"
5307,"Libra",2840,"2011-10-16"
3218,"Leo",2839,"2011-10-15"
4844,"Aries",2838,"2011-10-14"
616,"Acuario",2837,"2011-10-13"
1895,"Tauro",2836,"2011-10-12"
2948,"Geminis",2835,"2011-10-11"
6039,"Piscis",2834,"2011-10-10"
5376,"Piscis",2833,"2011-10-09"
1439,"Geminis",2832,"2011-10-08"
6134,"Libra",2831,"2011-10-07"
4774,"Aries",2830,"2011-10-06"
2924,"Geminis",2829,"2011-10-05"
7494,"Libra",2828,"2011-10-04"
8267,"Capricornio",2827,"2011-10-03"
4014,"Libra",2826,"2011-10-02"
4599,"Piscis",2825,"2011-10-01"
3822,"Virgo",2824,"2011-09-30"
4735,"Escorpio",2823,"2011-09-29"
5055,"Acuario",2822,"2011-09-28"
3600,"Sagitario",2821,"2011-09-27"
1997,"Acuario",2820,"2011-09-26"
4773,"Piscis",2819,"2011-09-25"
9141,"Acuario",2818,"2011-09-24"
4640,"Aries",2817,"2011-09-23"
4969,"Geminis",2816,"2011-09-22"
1369,"Capricornio",2815,"2011-09-21"
8738,"Capricornio",2814,"2011-09-20"
5364,"Escorpio",2813,"2011-09-19"
5561,"Aries",2812,"2011-09-18"
8795,"Sagitario",2811,"2011-09-17"
2079,"Geminis",2810,"2011-09-16"
6927,"Aries",2809,"2011-09-15"
8133,"Cancer",2808,"2011-09-14"
541,"Virgo",2807,"2011-09-13"
2906,"Virgo",2806,"2011-09-12"
4679,"Virgo",2805,"2011-09-11"
2247,"Cancer",2804,"2011-09-10"
3616,"Leo",2803,"2011-09-09"
6532,"Tauro",2802,"2011-09-08"
501,"Cancer",2801,"2011-09-07"
3311,"Cancer",2800,"2011-09-06"
5240,"Escorpion",2799,"2011-09-05"
7440,"Acuario",2798,"2011-09-04"
8164,"Tauro",2797,"2011-09-03"
4425,"Aries",2796,"2011-09-02"
6817,"Libra",2795,"2011-09-01"
5881,"Libra",2794,"2011-08-31"
9122,"Escorpion",2793,"2011-08-30"
150,"Escorpion",2792,"2011-08-29"
5569,"Acuario",2791,"2011-08-28"
1497,"Acuario",2790,"2011-08-27"
3322,"Aries",2789,"2011-08-26"
2411,"Geminis",2788,"2011-08-25"
5454,"Sagitario",2787,"2011-08-24"
9575,"Sagitario",2786,"2011-08-23"
8709,"Leo",2785,"2011-08-22"
3140,"Leo",2784,"2011-08-21"
8240,"Libra",2783,"2011-08-20"
4465,"Virgo",2782,"2011-08-19"
5826,"Escorpion",2781,"2011-08-18"
4789,"Sagitario",2780,"2011-08-17"
9300,"Acuario",2779,"2011-08-16"
7776,"Leo",2778,"2011-08-15"
7300,"Piscis",2777,"2011-08-14"
3776,"Sagitario",2776,"2011-08-13"
6319,"Cancer",2775,"2011-08-12"
7958,"Aries",2774,"2011-08-11"
7762,"Geminis",2773,"2011-08-10"
647,"Escorpion",2772,"2011-08-09"
3448,"Leo",2771,"2011-08-08"
4070,"Piscis",2770,"2011-08-07"
8095,"Aries",2769,"2011-08-06"
6936,"Leo",2768,"2011-08-05"
9305,"Tauro",2767,"2011-08-04"
5833,"Capricornio",2766,"2011-08-03"
9269,"Capricornio",2765,"2011-08-02"
608,"Virgo",2764,"2011-08-01"
4542,"Leo",2763,"2011-07-31"
8426,"Virgo",2762,"2011-07-30"
7721,"Aries",2761,"2011-07-29"
3266,"Aries",2760,"2011-07-28"
754,"Acuario",2759,"2011-07-27"
79,"Virgo",2758,"2011-07-26"
7411,"Piscis",2757,"2011-07-25"
2992,"Escorpio",2756,"2011-07-24"
3633,"Acuario",2755,"2011/07/23"
