#"Código.Municipio" "Población" "Población.Pobre" "Incidencia" "Código.Departamento" "Departamento" "Municipio" "Número.de.Hogares" "Bajo.Logro.Educativo" "Bajo.Logro.Educativo.Absoluto" "Analfabetismo" "Analfabetismo.Absoluto" "Inasistencia.Escolar" "Inasistencia.Escolar.Absoluto" "Rezago.Escolar" "Rezago.Escolar.Absoluto" "Barreras.Cuidado.Primera.Infancia" "Barreras.Cuidado.Primera.Infancia.Absoluto" "Trabajo.Infantil" "Trabajo.Infantil.Absoluto" "Alta.Dependencia.Económica" "Alta.Dependencia.Económica.Absoluto" "Empleo.Informal" "Empleo.Informal.Absoluto" "Sin.Seguro.Salud" "Sin.Seguro.Salud.Absoluto" "Barreras.Acceso.Salud" "Barreras.Acceso.Salud.Absoluto" "Sin.Fuente.Agua.Mejorada" "Sin.Fuente.Agua.Mejorada.Absoluto" "Inadecuada.Eliminación.Excretas" "Inadecuada.Eliminación.Excretas.Absoluto" "Pisos.Inadecuados" "Pisos.Inadecuados.Absoluto" "Paredes.Inadecuadas" "Paredes.Inadecuadas.Absoluto" "Hacinamiento" "Hacinamiento.Absoluto" "Coordenadas" "Latitud" "Longitud" "NivelesIncidencia"
"31" 5145 5356 3166.0001568 0.5911128 5 "Antioquia" "Caramanta" 1519 0.845293 1284.000067 0.2185648 331.9999312 0.0994075 150.9999925 0.2837393 430.9999967 0.1237656 187.9999464 0.0724161 110.0000559 0.4246215 645.0000585 0.9361422 1422.0000018 0.1737986 264.0000734 0.1013825 154.0000175 0.281106 427.000014 0.1961817 298.0000023 0.0131666 20.0000654 0.00395 6.00005 0.1086241 165.0000079 "(5.551328, -75.650162)" 5.551328 -75.650162 "(0.571,0.786]"
"32" 5147 41502 26497.1884614 0.6384557 5 "Antioquia" "Carepa" 9649 0.7553881 7288.7397769 0.2830704 2731.3462896 0.1353733 1306.2169717 0.3440078 3319.3312622 0.2187099 2110.3318251 0.0437066 421.7249834 0.5490737 5298.0121313 0.8373893 8079.9693557 0.2687113 2592.7953337 0.0484014 467.0251086 0.1969208 1900.0887992 0.1557493 1502.8249957 0.1235991 1192.6077159 0.106189 1024.617661 0.3117156 3007.7438244 "(7.7666667, -76.6666667)" 7.7666667 -76.6666667 "(0.571,0.786]"
"33" 5148 40870 16988.526901 0.4156723 5 "Antioquia" "El Carmen De Viboral" 9992 0.6888041 6882.5305672 0.1394188 1393.0726496 0.0876702 876.0006384 0.2994576 2992.1803392 0.1538292 1537.0613664 0.038315 382.84348 0.4352066 4348.5843472 0.7455801 7449.8363592 0.1964668 1963.0962656 0.0594285 593.809572 0.1212064 1211.0943488 0.0574147 573.6876824 0.0110088 109.9999296 0.0025849 25.8283208 0.1458985 1457.817812 "(6.0833333, -75.33333329999999)" 6.0833333 -75.3333333 "(0.357,0.571]"
"34" 5150 3858 1606.0001382 0.4162779 5 "Antioquia" "Carolina del Principe" 1096 0.6551095 718.000012 0.1578467 172.9999832 0.0328467 35.9999832 0.1989051 217.9999896 0.0812044 89.0000224 0.0209854 22.9999984 0.5036496 551.9999616 0.8248175 903.99998 0.1167883 127.9999768 0.0492701 54.0000296 0.1943431 213.0000376 0.0155109 16.9999464 0.0118613 12.9999848 0.0063869 7.0000424 0.1377737 150.9999752 "(6.725829999999999, -75.2842)" 6.72583 -75.2842 "(0.357,0.571]"
"35" 5154 85544 61089.2971968 0.7141272 5 "Antioquia" "Caucasia" 18802 0.7914135 14880.156627 0.338251 6359.795302 0.1364357 2565.2640314 0.3636604 6837.5428408 0.2173728 4087.0433856 0.0444943 836.5818286 0.5748776 10808.8486352 0.9745942 18324.3201484 0.3190215 5998.242243 0.0721315 1356.216463 0.2007311 3774.1461422 0.1931409 3631.4352018 0.2589512 4868.8004624 0.1298209 2440.8925618 0.342754 6444.460708 "(7.9833333, -75.2)" 7.9833333 -75.2 "(0.571,0.786]"
"36" 5172 59577 39381.7970595 0.6610235 5 "Antioquia" "Chigorodó" 14262 0.7689846 10967.2583652 0.2746454 3916.9926948 0.1142079 1628.8330698 0.3709298 5290.2008076 0.2396132 3417.3634584 0.0432223 616.4364426 0.5673892 8092.1047704 0.8650248 12336.9836976 0.2434949 3472.7242638 0.0636553 907.8518886 0.4704806 6709.9943172 0.1551491 2212.7364642 0.1151545 1642.333479 0.1302127 1857.0935274 0.3294013 4697.9213406 "(7.670465, -76.68263999999999)" 7.670465 -76.68264 "(0.571,0.786]"
"37" 5190 9560 4887.33012 0.511227 5 "Antioquia" "Cisneros" 2714 0.7612753 2066.1011642 0.1740118 472.2680252 0.0656066 178.0563124 0.2527672 686.0101808 0.0987468 267.9988152 0.0469641 127.4605674 0.4563354 1238.4942756 0.9258886 2512.8616604 0.1906208 517.3448512 0.0597989 162.2942146 0.1701945 461.907873 0.1731489 469.9261146 0.0104515 28.365371 0.0039177 10.6326378 0.1230201 333.8765514 "(6.5383333, -75.0886111)" 6.5383333 -75.0886111 "(0.357,0.571]"
"38" 5197 14242 10279.9995054 0.7218087 5 "Antioquia" "Cocorná" 4164 0.8962536 3731.9999904 0.3114793 1296.9998052 0.1330451 553.9997964 0.3105187 1292.9998668 0.1304035 543.000174 0.082853 344.999892 0.5225744 2175.9998016 0.9577329 3987.9997956 0.1253602 521.9998728 0.142171 592.000044 0.5386647 2242.9998108 0.3167627 1318.9998828 0.0321806 134.0000184 0.0139289 57.9999396 0.1479347 616.0000908 "(6.05, -75.16666699999999)" 6.05 -75.166667 "(0.571,0.786]"
"39" 5206 4332 2583.9998784 0.5964912 5 "Antioquia" "Concepción" 1265 0.8671937 1097.0000305 0.2031621 257.0000565 0.1083004 137.000006 0.2750988 347.999982 0.1177866 149.000049 0.0837945 106.0000425 0.4126482 521.999973 0.944664 1194.99996 0.058498 73.99997 0.0901186 114.000029 0.5889328 744.999992 0.0924901 116.9999765 0.0268775 34.0000375 0.0031621 4.0000565 0.1217391 153.9999615 "(6.396999999999999, -75.258)" 6.397 -75.258 "(0.571,0.786]"
"40" 5209 21158 15448.7654802 0.7301619 5 "Antioquia" "Concordia" 5206 0.9064134 4718.7881604 0.4077723 2122.8625938 0.1921379 1000.2699074 0.4012542 2088.9293652 0.1752739 912.4759234 0.1073539 558.8844034 0.4046831 2106.7802186 0.9709437 5054.7329022 0.1939102 1009.4965012 0.0395221 205.7520526 0.4762006 2479.1003236 0.1850076 963.1495656 0.0933831 486.1524186 0.0088822 46.2407332 0.1598683 832.2743698 "(6.048999999999999, -75.90899999999999)" 6.049 -75.909 "(0.571,0.786]"
"41" 5212 61144 17708.5069368 0.2896197 5 "Antioquia" "Copacabana" 16132 0.5205536 8397.5706752 0.0958896 1546.8910272 0.0444142 716.4898744 0.244247 3940.192604 0.0978226 1578.0741832 0.0125573 202.5743636 0.3747709 6045.8041588 0.7448443 12015.8282476 0.2870272 4630.3227904 0.0189651 305.9449932 0.057894 933.946008 0.0260545 420.311194 0.0075006 120.9996792 0.0007862 12.6829784 0.0982943 1585.6836476 "(6.345576899999999, -75.5037229)" 6.3455769 -75.5037229 "(0.142,0.357]"
"42" 5234 19712 15994.9653248 0.8114329 5 "Antioquia" "Dabeiba" 4633 0.8774063 4065.0233879 0.5521344 2558.0386752 0.2866098 1327.8632034 0.470035 2177.672155 0.2983604 1382.3037332 0.1158123 536.5583859 0.542919 2515.343727 0.970821 4497.813693 0.1517571 703.0906443 0.0723278 335.0946974 0.466159 2159.714647 0.3914887 1813.7671471 0.2680073 1241.6778209 0.1514235 701.5450755 0.2916952 1351.4238616 "(6.999721999999999, -76.2680589)" 6.999722 -76.2680589 "(0.786,1]"
"43" 5237 17664 9450.531456 0.5350165 5 "Antioquia" "Don Matías" 4708 0.7979701 3756.8432308 0.1480799 697.1601692 0.1061315 499.667102 0.3409212 1605.0570096 0.1718864 809.2411712 0.0541042 254.7225736 0.4027092 1895.9549136 0.9461053 4454.2637524 0.304158 1431.975864 0.0280231 131.9327548 0.2777655 1307.719974 0.1111422 523.2574776 0.0052985 24.945338 0.0017826 8.3924808 0.1123801 529.0855108 "(6.486110999999999, -75.39527799999999)" 6.486111 -75.395278 "(0.357,0.571]"
