cod.municipio,homicidios12,homicidios13,poblacion12,poblacion13,tasa.homicidios12,tasa.homicidios13
41132,8,18,33757,33949,0.24,0.53
41206,10,3,12042,12166,0.83,0.25
41244,2,0,3741,3803,0.53,0.00
41298,19,7,82390,84307,0.23,0.08
41306,10,6,31713,32248,0.32,0.19
41319,5,4,20106,20498,0.25,0.20
41349,2,3,6832,6867,0.29,0.44
41357,2,3,12082,12299,0.17,0.24
41359,14,14,26101,26452,0.54,0.53
41378,4,4,13254,13506,0.30,0.30
41396,12,19,59495,60563,0.20,0.31
41483,1,3,6184,6237,0.16,0.48
41503,4,2,12650,12934,0.32,0.15
41518,1,2,5448,5486,0.18,0.36
41524,9,5,30967,31536,0.29,0.16
41530,2,1,11162,11302,0.18,0.09
41548,1,2,13420,13502,0.07,0.15
41551,46,43,118677,121049,0.39,0.36
41615,6,12,18177,18384,0.33,0.65
41660,7,8,11108,11219,0.63,0.71
41668,9,5,31944,32269,0.28,0.15
41676,0,4,11030,11129,0.00,0.36
41770,6,5,17474,17962,0.34,0.28
41791,9,5,17115,17277,0.53,0.29
41797,0,3,9145,9186,0.00,0.33
41799,8,2,13970,14047,0.57,0.14
41801,1,8,8595,8651,0.12,0.92
41807,2,8,20217,20245,0.10,0.40
41872,0,0,7329,7327,0.00,0.00
41885,2,2,8597,8716,0.23,0.23
44001,74,46,231653,240951,0.32,0.19
44035,2,5,25018,25566,0.08,0.20
44078,6,14,32254,33060,0.19,0.42
44090,30,18,29446,30614,1.02,0.59
44098,0,0,14695,15065,0.00,0.00
44110,0,2,8357,8487,0.00,0.24
44279,8,7,31514,32116,0.25,0.22
44378,0,5,22203,23086,0.00,0.22
44420,0,0,3094,3128,0.00,0.00
44430,84,73,148427,151469,0.57,0.48
44560,4,4,92232,96080,0.04,0.04
44650,0,7,35972,36399,0.00,0.19
44847,8,1,156496,162362,0.05,0.01
44855,0,1,16561,17011,0.00,0.06
44874,3,5,26610,26973,0.11,0.19
47001,214,193,461900,469066,0.46,0.41
47030,3,4,12312,12399,0.24,0.32
47053,10,5,38162,38587,0.26,0.13
47058,5,10,31806,31932,0.16,0.31
47161,0,2,7966,7930,0.00,0.25
47170,1,0,16105,16047,0.06,0.00
47189,17,36,103546,103792,0.16,0.35
47205,2,0,9575,9506,0.21,0.00
47245,14,20,55175,55279,0.25,0.36
47258,1,1,16795,16771,0.06,0.06
47268,2,1,20269,20499,0.10,0.05
47288,16,12,57195,57246,0.28,0.21
47318,5,8,26592,26803,0.19,0.30
47460,5,1,18572,18959,0.27,0.05
47541,1,0,8034,8041,0.12,0.00
47545,0,0,15187,15363,0.00,0.00
47551,6,0,34501,34313,0.17,0.00
47555,7,11,55037,55956,0.13,0.20
47570,2,7,28720,29290,0.07,0.24
47605,0,1,8318,8265,0.00,0.12
47660,1,1,16252,16447,0.06,0.06
47675,0,0,7434,7324,0.00,0.00
47692,1,1,17407,17432,0.06,0.06
47703,2,0,9040,9062,0.22,0.00
47707,0,1,25034,25329,0.00,0.04
47720,1,1,12126,12284,0.08,0.08
47745,3,4,30446,30884,0.10,0.13
47798,2,2,12300,12278,0.16,0.16
47960,0,1,8737,8749,0.00,0.11
47980,24,16,59332,59699,0.40,0.27
50001,148,135,452522,463121,0.33,0.29
50006,22,20,64287,65800,0.34,0.30
50110,2,3,3703,3771,0.54,0.80
50124,2,0,3907,3951,0.51,0.00
50150,3,4,8787,9055,0.34,0.44
50223,3,0,5717,5798,0.52,0.00
